# JD           time(JD) x                y              z               vx          vy           vz
2458736.500000 0.000000 -14191298.395000 4333878.322000 21811823.968000 -532.781897 -2764.724409 231.537398
2458736.500000 0.000695 -14223510.649275 4167864.143257 21824943.457680 -543.017539 -2764.216808 203.096736
2458736.500000 0.001390 -14256358.371536 4001896.842803 21836336.208657 -553.216708 -2763.450238 174.645292
2458736.500000 0.002085 -14289836.513066 3835990.780342 21846004.028691 -563.376821 -2762.425820 146.185294
2458736.500000 0.002780 -14323940.025145 3670160.315579 21853948.725544 -573.495293 -2761.144673 117.718970
2458736.500000 0.003475 -14358663.859055 3504419.808215 21860172.106976 -583.569540 -2759.607916 89.248549
2458736.500000 0.004170 -14394002.966078 3338783.617957 21864675.980748 -593.596978 -2757.816669 60.776258
2458736.500000 0.004864 -14429952.297494 3173266.104507 21867462.154621 -603.575023 -2755.772051 32.304325
2458736.500000 0.005559 -14466506.804584 3007881.627568 21868532.436355 -613.501090 -2753.475182 3.834980
2458736.500000 0.006254 -14503661.438632 2842644.546846 21867888.633712 -623.372597 -2750.927180 -24.629551
2458736.500000 0.006949 -14541411.150916 2677569.222044 21865532.554452 -633.186958 -2748.129166 -53.087038
2458736.500000 0.007644 -14579750.892720 2512670.012866 21861466.006335 -642.941589 -2745.082258 -81.535253
2458736.500000 0.008339 -14618675.615324 2347961.279014 21855690.797124 -652.633907 -2741.787577 -109.971969
2458736.500000 0.009034 -14658180.270009 2183457.380195 21848208.734578 -662.261328 -2738.246241 -138.394957
2458736.500000 0.009729 -14698259.808057 2019172.676110 21839021.626458 -671.821266 -2734.459370 -166.801989
2458736.500000 0.010424 -14738909.180749 1855121.526464 21828131.280525 -681.311139 -2730.428083 -195.190837
2458736.500000 0.011119 -14780123.339367 1691318.290961 21815539.504541 -690.728361 -2726.153500 -223.559272
2458736.500000 0.011814 -14821897.235192 1527777.329305 21801248.106265 -700.070349 -2721.636740 -251.905067
2458736.500000 0.012509 -14864225.819505 1364513.001199 21785258.893458 -709.334520 -2716.878923 -280.225993
2458736.500000 0.013204 -14907104.043587 1201539.666347 21767573.673882 -718.518287 -2711.881168 -308.519822
2458736.500000 0.013899 -14950526.858720 1038871.684453 21748194.255297 -727.619068 -2706.644594 -336.784326
2458736.500000 0.014593 -14994489.216186 876523.415221 21727122.445463 -736.634279 -2701.170321 -365.017277
2458736.500000 0.015288 -15038986.067264 714509.218355 21704360.052143 -745.561335 -2695.459468 -393.216446
2458736.500000 0.015983 -15084012.363238 552843.453559 21679908.883095 -754.397652 -2689.513155 -421.379606
2458736.500000 0.016678 -15129563.055388 391540.480535 21653770.746082 -763.140646 -2683.332500 -449.504527
2458736.500000 0.017373 -15175633.094995 230614.658989 21625947.448864 -771.787734 -2676.918624 -477.588983
2458736.500000 0.018068 -15222217.433341 70080.348624 21596440.799202 -780.336330 -2670.272646 -505.630744
2458736.500000 0.018763 -15269311.021707 -90048.090856 21565252.604857 -788.783851 -2663.395685 -533.627583
2458736.500000 0.019458 -15316908.811375 -249756.299748 21532384.673588 -797.127712 -2656.288861 -561.577271
2458736.500000 0.020153 -15365005.753625 -409029.918347 21497838.813159 -805.365330 -2648.953293 -589.477580
2458736.500000 0.020848 -15413596.799735 -567854.586952 21461616.831331 -813.494121 -2641.390100 -617.326282
2458736.500000 0.021543 -15462676.404464 -726216.226928 21423720.979002 -821.511562 -2633.600521 -645.121168
2458736.500000 0.022238 -15512237.156769 -884101.815822 21384155.172251 -829.415366 -2625.586242 -672.860097
2458736.500000 0.022933 -15562271.207426 -1041498.579225 21342923.718225 -837.203298 -2617.349052 -700.540947
2458736.500000 0.023628 -15612770.707209 -1198393.742728 21300030.924071 -844.873127 -2608.890743 -728.161594
2458736.500000 0.024322 -15663727.806892 -1354774.531922 21255481.096938 -852.422618 -2600.213105 -755.719914
2458736.500000 0.025017 -15715134.657251 -1510628.172398 21209278.543972 -859.849539 -2591.317928 -783.213785
2458736.500000 0.025712 -15766983.409061 -1665941.889748 21161427.572321 -867.151656 -2582.207003 -810.641083
2458736.500000 0.026407 -15819266.213096 -1820702.909561 21111932.489132 -874.326736 -2572.882122 -837.999684
2458736.500000 0.027102 -15871975.220131 -1974898.457430 21060797.601552 -881.372545 -2563.345073 -865.287466
2458736.500000 0.027797 -15925102.580942 -2128515.758945 21008027.216730 -888.286852 -2553.597648 -892.502305
2458736.500000 0.028492 -15978640.446302 -2281542.039697 20953625.641813 -895.067421 -2543.641638 -919.642078
2458736.500000 0.029187 -16032580.966987 -2433964.525278 20897597.183947 -901.712020 -2533.478832 -946.704661
2458736.500000 0.029882 -16086916.293771 -2585770.441279 20839946.150281 -908.218416 -2523.111022 -973.687932
2458736.500000 0.030577 -16141638.577430 -2736947.013289 20780676.847962 -914.584376 -2512.539997 -1000.589766
2458736.500000 0.031272 -16196739.968729 -2887481.466911 20719793.584145 -920.807665 -2501.767549 -1027.408040
2458736.500000 0.031967 -16252212.311423 -3037361.343133 20657300.979027 -926.886121 -2490.795542 -1054.140655
2458736.500000 0.032662 -16308046.330999 -3186575.331734 20593204.793024 -932.817826 -2479.626105 -1080.785593
2458736.500000 0.033356 -16364232.498409 -3335112.383971 20527511.046083 -938.600924 -2468.261431 -1107.340857
2458736.500000 0.034051 -16420761.284605 -3482961.451105 20460225.758153 -944.233555 -2456.703711 -1133.804451
2458736.500000 0.034746 -16477623.160539 -3630111.484392 20391354.949181 -949.713861 -2444.955137 -1160.174376
2458736.500000 0.035441 -16534808.597164 -3776551.435092 20320904.639116 -955.039984 -2433.017900 -1186.448634
2458736.500000 0.036136 -16592308.065432 -3922270.254464 20248880.847904 -960.210066 -2420.894191 -1212.625230
2458736.500000 0.036831 -16650112.036294 -4067256.893766 20175289.595495 -965.222247 -2408.586202 -1238.702165
2458736.500000 0.037526 -16708210.980703 -4211500.304256 20100136.901837 -970.074671 -2396.096124 -1264.677442
2458736.500000 0.038221 -16766595.369612 -4354989.437194 20023428.786876 -974.765477 -2383.426149 -1290.549063
2458736.500000 0.038916 -16825255.673971 -4497713.243838 19945171.270561 -979.292809 -2370.578469 -1316.315031
2458736.500000 0.039611 -16884182.364735 -4639660.675447 19865370.372840 -983.654807 -2357.555274 -1341.973349
2458736.500000 0.040306 -16943365.912854 -4780820.683278 19784032.113662 -987.849613 -2344.358757 -1367.522019
2458736.500000 0.041001 -17002796.789281 -4921182.218592 19701162.512973 -991.875368 -2330.991109 -1392.959044
2458736.500000 0.041696 -17062465.464950 -5060734.232671 19616767.590743 -995.730216 -2317.454521 -1418.282427
2458736.500000 0.042391 -17122362.125904 -5199466.083954 19530853.699316 -999.412383 -2303.751253 -1443.490201
2458736.500000 0.043085 -17182475.952291 -5337368.568458 19443428.364590 -1002.920411 -2289.883805 -1468.580508
2458736.500000 0.043780 -17242795.902357 -5474432.799326 19354499.371345 -1006.252905 -2275.854730 -1493.551515
2458736.500000 0.044475 -17303310.934353 -5610649.889701 19264074.504364 -1009.408473 -2261.666582 -1518.401389
2458736.500000 0.045170 -17364010.006527 -5746010.952727 19172161.548426 -1012.385722 -2247.321913 -1543.128297
2458736.500000 0.045865 -17424882.077127 -5880507.101546 19078768.288313 -1015.183260 -2232.823277 -1567.730405
2458736.500000 0.046560 -17485916.104403 -6014129.449302 18983902.508805 -1017.799693 -2218.173227 -1592.205880
2458736.500000 0.047255 -17547101.046603 -6146869.109138 18887571.994682 -1020.233629 -2203.374317 -1616.552888
2458736.500000 0.047950 -17608425.861976 -6278717.194198 18789784.530727 -1022.483675 -2188.429098 -1640.769596
2458736.500000 0.048645 -17669879.508771 -6409664.817624 18690547.901719 -1024.548438 -2173.340126 -1664.854170
2458736.500000 0.049340 -17731450.945235 -6539703.092560 18589869.892439 -1026.426525 -2158.109952 -1688.804778
2458736.500000 0.050035 -17793129.129619 -6668823.132150 18487758.287668 -1028.116544 -2142.741130 -1712.619586
2458736.500000 0.050730 -17854903.020171 -6797016.049535 18384220.872187 -1029.617101 -2127.236213 -1736.296761
2458736.500000 0.051425 -17916761.575140 -6924272.957860 18279265.430776 -1030.926804 -2111.597755 -1759.834468
2458736.500000 0.052120 -17978693.752750 -7050584.970324 18172899.748254 -1032.044260 -2095.828308 -1783.230876
2458736.500000 0.052814 -18040688.314646 -7175943.667809 18065131.911181 -1032.968177 -2079.930474 -1806.484187
2458736.500000 0.053509 -18102733.349595 -7300342.232020 17955971.038965 -1033.697601 -2063.907014 -1829.592733
2458736.500000 0.054204 -18164816.802513 -7423774.186900 17845426.471816 -1034.231656 -2047.760728 -1852.554872
2458736.500000 0.054899 -18226926.618318 -7546233.056386 17733507.549946 -1034.569462 -2031.494412 -1875.368962
2458736.500000 0.055594 -18289050.741927 -7667712.364420 17620223.613568 -1034.710140 -2015.110864 -1898.033360
2458736.500000 0.056289 -18351177.118255 -7788205.634939 17505584.002892 -1034.652812 -1998.612883 -1920.546427
2458736.500000 0.056984 -18413293.692220 -7907706.391885 17389598.058132 -1034.396600 -1982.003265 -1942.906519
2458736.500000 0.057679 -18475388.408738 -8026208.159196 17272275.119498 -1033.940624 -1965.284809 -1965.111994
2458736.500000 0.058374 -18537449.212726 -8143704.460812 17153624.527202 -1033.284006 -1948.460312 -1987.161212
2458736.500000 0.059069 -18599464.049101 -8260188.820673 17033655.621456 -1032.425868 -1931.532571 -2009.052529
2458736.500000 0.059764 -18661420.862779 -8375654.762718 16912377.742471 -1031.365330 -1914.504386 -2030.784305
2458736.500000 0.060459 -18723307.598677 -8490095.810888 16789800.230460 -1030.101515 -1897.378552 -2052.354897
2458736.500000 0.061154 -18785112.201712 -8603505.489121 16665932.425635 -1028.633543 -1880.157869 -2073.762664
2458736.500000 0.061849 -18846822.616800 -8715877.321357 16540783.668206 -1026.960537 -1862.845134 -2095.005963
2458736.500000 0.062543 -18908426.788837 -8827204.831641 16414363.298442 -1025.081616 -1845.443143 -2116.083154
2458736.500000 0.063238 -18969912.553026 -8937482.061317 16286680.933271 -1022.996013 -1827.954724 -2136.992637
2458736.500000 0.063933 -19031267.380558 -9046704.768430 16157747.107737 -1020.703321 -1810.382792 -2157.732956
2458736.500000 0.064628 -19092478.667212 -9154869.066677 16027572.547095 -1018.203209 -1792.730282 -2178.302685
2458736.500000 0.065323 -19153533.808765 -9261971.069753 15896167.976597 -1015.495346 -1775.000130 -2198.700398
2458736.500000 0.066018 -19214420.200994 -9368006.891354 15763544.121495 -1012.579401 -1757.195272 -2218.924667
2458736.500000 0.066713 -19275125.239678 -9472972.645176 15629711.707042 -1009.455043 -1739.318643 -2238.974068
2458736.500000 0.067408 -19335636.320594 -9576864.444915 15494681.458492 -1006.121941 -1721.373179 -2258.847173
2458736.500000 0.068103 -19395940.839519 -9679678.404265 15358464.101097 -1002.579765 -1703.361814 -2278.542556
2458736.500000 0.068798 -19456026.192232 -9781410.636923 15221070.360109 -998.828183 -1685.287485 -2298.058792
2458736.500000 0.069493 -19515879.774510 -9882057.256585 15082510.960782 -994.866864 -1667.153126 -2317.394452
2458736.500000 0.070188 -19575488.982132 -9981614.376946 14942796.628369 -990.695477 -1648.961674 -2336.548112
2458736.500000 0.070883 -19634841.210874 -10080078.111701 14801938.088121 -986.313692 -1630.716063 -2355.518344
2458736.500000 0.071577 -19693923.856514 -10177444.574548 14659946.065293 -981.721178 -1612.419230 -2374.303723
2458736.500000 0.072272 -19752724.314831 -10273709.879180 14516831.285136 -976.917602 -1594.074109 -2392.902822
2458736.500000 0.072967 -19811229.981598 -10368870.139467 14372604.472979 -971.902636 -1575.683636 -2411.314214
2458736.500000 0.073662 -19869428.243139 -10462922.016261 14227276.596527 -966.676061 -1557.250751 -2429.536522
